Year,Region,Region Code,Industry,Industry Code,Measure,Gas type,Value,Value Unit,Value Label,Null Reason
2013,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1125.63,number,Kilotonnes of CO2 equivalent,
2014,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1171.88,number,Kilotonnes of CO2 equivalent,
2015,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1058.5,number,Kilotonnes of CO2 equivalent,
2016,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1069.14,number,Kilotonnes of CO2 equivalent,
2017,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1039.93,number,Kilotonnes of CO2 equivalent,
2018,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1033.12,number,Kilotonnes of CO2 equivalent,
2007,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2484.95,number,Kilotonnes of CO2 equivalent,
2008,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2675.36,number,Kilotonnes of CO2 equivalent,
2009,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2458.62,number,Kilotonnes of CO2 equivalent,
2010,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2490.37,number,Kilotonnes of CO2 equivalent,
2011,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2479.23,number,Kilotonnes of CO2 equivalent,
2012,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2501.66,number,Kilotonnes of CO2 equivalent,
2013,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2360.29,number,Kilotonnes of CO2 equivalent,
2014,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2305.8,number,Kilotonnes of CO2 equivalent,
2015,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2376.02,number,Kilotonnes of CO2 equivalent,
2016,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2323.29,number,Kilotonnes of CO2 equivalent,
2017,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2271.29,number,Kilotonnes of CO2 equivalent,
2018,Hawke's Bay,Hawke's Bay Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2232.81,number,Kilotonnes of CO2 equivalent,
2007,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4842.29,number,Kilotonnes of CO2 equivalent,
2008,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4496.7,number,Kilotonnes of CO2 equivalent,
2009,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4467.27,number,Kilotonnes of CO2 equivalent,
2010,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4606.62,number,Kilotonnes of CO2 equivalent,
2011,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4605.42,number,Kilotonnes of CO2 equivalent,
2012,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4602.02,number,Kilotonnes of CO2 equivalent,
2013,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4460.97,number,Kilotonnes of CO2 equivalent,
2014,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4536.34,number,Kilotonnes of CO2 equivalent,
2015,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4563.86,number,Kilotonnes of CO2 equivalent,
2016,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4583.55,number,Kilotonnes of CO2 equivalent,
2017,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4429.68,number,Kilotonnes of CO2 equivalent,
2018,Manawatū-Whanganui,Manawatu-Wanganui Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4474.44,number,Kilotonnes of CO2 equivalent,
2007,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,515.49,number,Kilotonnes of CO2 equivalent,
2008,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,516.22,number,Kilotonnes of CO2 equivalent,
2009,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,499.15,number,Kilotonnes of CO2 equivalent,
2010,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,473.51,number,Kilotonnes of CO2 equivalent,
2011,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,447.16,number,Kilotonnes of CO2 equivalent,
2012,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,527.5,number,Kilotonnes of CO2 equivalent,
2013,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,514.29,number,Kilotonnes of CO2 equivalent,
2014,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,572.67,number,Kilotonnes of CO2 equivalent,
2015,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,477.57,number,Kilotonnes of CO2 equivalent,
2016,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,457.64,number,Kilotonnes of CO2 equivalent,
2017,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,478.7,number,Kilotonnes of CO2 equivalent,
2018,Marlborough,Marlborough Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,466.1,number,Kilotonnes of CO2 equivalent,
2007,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2275.96,number,Kilotonnes of CO2 equivalent,
2008,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2332.15,number,Kilotonnes of CO2 equivalent,
2009,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2246.07,number,Kilotonnes of CO2 equivalent,
2010,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2121.74,number,Kilotonnes of CO2 equivalent,
2011,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2134.12,number,Kilotonnes of CO2 equivalent,
2012,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2144.46,number,Kilotonnes of CO2 equivalent,
2013,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2132.04,number,Kilotonnes of CO2 equivalent,
2014,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1947.92,number,Kilotonnes of CO2 equivalent,
2015,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2097.62,number,Kilotonnes of CO2 equivalent,
2016,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2146.59,number,Kilotonnes of CO2 equivalent,
2017,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2104.41,number,Kilotonnes of CO2 equivalent,
2018,Northland,Northland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2114.24,number,Kilotonnes of CO2 equivalent,
2007,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3547.43,number,Kilotonnes of CO2 equivalent,
2008,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3388.17,number,Kilotonnes of CO2 equivalent,
2009,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3423.31,number,Kilotonnes of CO2 equivalent,
2010,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3432.29,number,Kilotonnes of CO2 equivalent,
2011,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3574.17,number,Kilotonnes of CO2 equivalent,
2012,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3752.09,number,Kilotonnes of CO2 equivalent,
2013,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3784.08,number,Kilotonnes of CO2 equivalent,
2014,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3903.89,number,Kilotonnes of CO2 equivalent,
2015,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3860.06,number,Kilotonnes of CO2 equivalent,
2016,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3507.22,number,Kilotonnes of CO2 equivalent,
2017,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3512.53,number,Kilotonnes of CO2 equivalent,
2018,Otago,Otago Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3733.49,number,Kilotonnes of CO2 equivalent,
2007,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3964.44,number,Kilotonnes of CO2 equivalent,
2008,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3810.25,number,Kilotonnes of CO2 equivalent,
2009,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3992.49,number,Kilotonnes of CO2 equivalent,
2010,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4004.55,number,Kilotonnes of CO2 equivalent,
2011,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,3946.95,number,Kilotonnes of CO2 equivalent,
2012,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4241.92,number,Kilotonnes of CO2 equivalent,
2013,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4056.54,number,Kilotonnes of CO2 equivalent,
2014,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4364.4,number,Kilotonnes of CO2 equivalent,
2015,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4396.87,number,Kilotonnes of CO2 equivalent,
2016,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4246.93,number,Kilotonnes of CO2 equivalent,
2017,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4257.26,number,Kilotonnes of CO2 equivalent,
2018,Southland,Southland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,4100.49,number,Kilotonnes of CO2 equivalent,
2007,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2232.44,number,Kilotonnes of CO2 equivalent,
2008,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2143.05,number,Kilotonnes of CO2 equivalent,
2009,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2186.47,number,Kilotonnes of CO2 equivalent,
2010,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2379.56,number,Kilotonnes of CO2 equivalent,
2011,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2306.16,number,Kilotonnes of CO2 equivalent,
2012,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2219.73,number,Kilotonnes of CO2 equivalent,
2013,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2297.46,number,Kilotonnes of CO2 equivalent,
2014,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2273.04,number,Kilotonnes of CO2 equivalent,
2015,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2174.81,number,Kilotonnes of CO2 equivalent,
2016,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2102.32,number,Kilotonnes of CO2 equivalent,
2017,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2302.9,number,Kilotonnes of CO2 equivalent,
2018,Taranaki,Taranaki Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,2202.04,number,Kilotonnes of CO2 equivalent,
2007,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,494.94,number,Kilotonnes of CO2 equivalent,
2008,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,504.43,number,Kilotonnes of CO2 equivalent,
2009,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,547.28,number,Kilotonnes of CO2 equivalent,
2010,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,485.04,number,Kilotonnes of CO2 equivalent,
2011,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,470.29,number,Kilotonnes of CO2 equivalent,
2012,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,476.8,number,Kilotonnes of CO2 equivalent,
2013,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,502.16,number,Kilotonnes of CO2 equivalent,
2014,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,483.83,number,Kilotonnes of CO2 equivalent,
2015,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,563.51,number,Kilotonnes of CO2 equivalent,
2016,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,431.85,number,Kilotonnes of CO2 equivalent,
2017,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,472.01,number,Kilotonnes of CO2 equivalent,
2018,"Nelson, Tasman","Tasman, Nelson",Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,499.32,number,Kilotonnes of CO2 equivalent,
2007,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7297.74,number,Kilotonnes of CO2 equivalent,
2008,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,6963.94,number,Kilotonnes of CO2 equivalent,
2009,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7132.16,number,Kilotonnes of CO2 equivalent,
2010,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7090.08,number,Kilotonnes of CO2 equivalent,
2011,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7194.95,number,Kilotonnes of CO2 equivalent,
2012,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7350.28,number,Kilotonnes of CO2 equivalent,
2013,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7453.32,number,Kilotonnes of CO2 equivalent,
2014,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7640.95,number,Kilotonnes of CO2 equivalent,
2015,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7291.86,number,Kilotonnes of CO2 equivalent,
2016,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7544.43,number,Kilotonnes of CO2 equivalent,
2017,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7494.72,number,Kilotonnes of CO2 equivalent,
2018,Waikato,Waikato Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7534.03,number,Kilotonnes of CO2 equivalent,
2007,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1231.29,number,Kilotonnes of CO2 equivalent,
2008,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1224.72,number,Kilotonnes of CO2 equivalent,
2009,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1143.96,number,Kilotonnes of CO2 equivalent,
2010,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1145.82,number,Kilotonnes of CO2 equivalent,
2011,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1226.16,number,Kilotonnes of CO2 equivalent,
2012,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1221.26,number,Kilotonnes of CO2 equivalent,
2013,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1181.32,number,Kilotonnes of CO2 equivalent,
2014,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1153.32,number,Kilotonnes of CO2 equivalent,
2015,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1117.44,number,Kilotonnes of CO2 equivalent,
2016,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1078.78,number,Kilotonnes of CO2 equivalent,
2017,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1142.06,number,Kilotonnes of CO2 equivalent,
2018,Wellington,Wellington Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1116.05,number,Kilotonnes of CO2 equivalent,
2007,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,633.8,number,Kilotonnes of CO2 equivalent,
2008,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,626.03,number,Kilotonnes of CO2 equivalent,
2009,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,701.53,number,Kilotonnes of CO2 equivalent,
2010,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,633.2,number,Kilotonnes of CO2 equivalent,
2011,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,704.9,number,Kilotonnes of CO2 equivalent,
2012,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,694.09,number,Kilotonnes of CO2 equivalent,
2013,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,683.07,number,Kilotonnes of CO2 equivalent,
2014,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,757.91,number,Kilotonnes of CO2 equivalent,
2015,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,736.14,number,Kilotonnes of CO2 equivalent,
2016,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,702.86,number,Kilotonnes of CO2 equivalent,
2017,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,652.02,number,Kilotonnes of CO2 equivalent,
2018,West Coast,West Coast Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,581.21,number,Kilotonnes of CO2 equivalent,
2007,Auckland,Auckland Region,"Forestry, fishing, and mining","A03,A04,A05,B06,B07,B08,B09,B10",Greenhouse gas emissions,Carbon dioxide equivalents,76.4,number,Kilotonnes of CO2 equivalent,
