city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Kihikihi,-38.0333,175.3500,New Zealand,NZ,Waikato,,2740,2740
Wakefield,-41.4044,173.0483,New Zealand,NZ,Tasman,,2570,2570
Pahiatua,-40.4533,175.8408,New Zealand,NZ,Manawatu-Wanganui,,2550,2550
Winton,-46.1430,168.3240,New Zealand,NZ,Southland,,2380,2380
Ruakaka,-35.9084,174.4596,New Zealand,NZ,Northland,,2360,2360
Maraetai,-36.8830,175.0430,New Zealand,NZ,Auckland,,2290,2290
Te Anau,-45.4167,167.7167,New Zealand,NZ,Southland,,2250,2250
Clive,-39.5833,176.9167,New Zealand,NZ,Hawke’s Bay,,2210,2210
Kaikoura,-42.4000,173.6814,New Zealand,NZ,Canterbury,,2210,2210
Oxford,-43.2980,172.1880,New Zealand,NZ,Canterbury,,2200,2200
Pokeno,-37.2430,175.0180,New Zealand,NZ,Waikato,,2170,2170
Wellsford,-36.2958,174.5233,New Zealand,NZ,Auckland,,2120,2120
Waitangi,-43.9510,-176.5610,New Zealand,NZ,Chatham Islands,admin,300,300
