Year,Measure,Language group,Language,Language Code,Gender,Age group,Value,Value Unit,Value Label,Null Reason
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,275,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,200,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,210,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,205,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,275,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,365,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,405,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,320,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,465,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,Total,500,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,25,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,40,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,45,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,20,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,35,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,45,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,70,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,70,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,85,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,*-17,45,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,0,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,5,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,5,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,5,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,5,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,10,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,10,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,10,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,10,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,*-17,5,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,705,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,610,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,420,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,320,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,440,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,555,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,650,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,590,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,650,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,18-24,830,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,175,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,150,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,85,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,70,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,105,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,150,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,170,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,135,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,160,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,18-24,185,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,290,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,250,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,180,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,140,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,200,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,255,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,290,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,300,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,260,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,25-39,370,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,65,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,45,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,40,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,30,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,45,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,70,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,80,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,55,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,75,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,25-39,100,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,95,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,70,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,80,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,80,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,85,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,120,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,130,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,135,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,115,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,40-*,105,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,15,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,10,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,20,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,20,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,20,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,35,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,30,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,25,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,35,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,40-*,40,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,1115,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,970,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,725,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,560,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,760,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,975,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,1140,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,1100,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,1110,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Male,Total,1350,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,260,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,210,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,150,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,125,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,180,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,265,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,290,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,230,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,280,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Male,Total,335,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,185,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,290,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,295,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,250,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,255,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,335,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,310,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,255,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,230,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,*-17,120,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,15,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,20,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,25,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,20,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,25,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,35,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,35,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,25,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,20,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,*-17,20,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,1695,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,1350,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,1055,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,895,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,1120,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,1415,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,1625,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,1410,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,1640,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,18-24,2280,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,350,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,270,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,185,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,175,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,250,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,330,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,395,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,305,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,380,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,18-24,480,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,600,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,505,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,415,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,335,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,470,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,600,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,660,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,695,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,710,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,25-39,890,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,125,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,90,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,95,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,75,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,115,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,170,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,180,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,140,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,225,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Total,25-39,230,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,40-*,290,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,40-*,200,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,40-*,255,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,40-*,245,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,40-*,260,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,40-*,340,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,40-*,350,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Total,40-*,360,number,Number of students,
